-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0     67                                                               
  950.0    491   11.4    5.4     67   5.95    250     23  288.8  305.9  289.8
  927.0    698    9.6    4.5     71   5.72    240     37  288.9  305.4  289.9
  925.0    716    9.4    4.4     71   5.70    240     41  288.9  305.4  289.9
  919.0    770    8.8    3.9     71   5.54    251     44  288.8  304.8  289.8
  917.0    788    8.7    3.9     72   5.55    255     45  288.9  304.9  289.8
  903.0    915    7.6    3.9     77   5.64    245     62  289.1  305.4  290.1
  900.0    942    7.4    3.9     78   5.65    242     60  289.1  305.4  290.1
  898.0    961    7.2    3.7     78   5.59    240     58  289.1  305.3  290.1
  887.0   1062    6.2    2.6     78   5.23    244     56  289.1  304.2  290.0
  872.0   1201    4.8    1.2     78   4.81    250     53  289.0  303.0  289.9
  858.0   1333    3.5    1.4     86   4.98    255     51  289.1  303.5  289.9
  850.0   1409    2.8    1.6     92   5.08    260     52  289.1  303.8  289.9
  835.0   1553    1.4    1.4    100   5.10    265     62  289.1  303.8  290.0
  834.0   1562    1.3    1.3    100   5.08    265     62  289.1  303.8  290.0
  821.0   1688    0.4    0.4    100   4.83    265     72  289.4  303.5  290.3
  769.0   2211   -3.3   -3.4     99   3.89    260     76  290.9  302.4  291.6
  748.0   2429   -4.5   -5.5     93   3.41    260     71  291.9  302.1  292.5
  713.0   2805   -6.7   -7.2     96   3.15    260     62  293.5  303.1  294.1
  711.0   2827   -6.8   -7.3     96   3.13    260     64  293.6  303.1  294.2
  700.0   2949   -7.5   -7.8     98   3.05    265     70  294.1  303.4  294.7
  688.0   3083   -8.1   -8.3     98   2.99    266     72  294.9  304.1  295.5
  655.0   3461  -10.6  -10.7     99   2.60    270     80  296.3  304.4  296.8
  623.0   3846  -13.1  -13.1    100   2.25    272     80  297.7  304.8  298.1
  620.0   3883  -13.5  -13.5    100   2.19    272     80  297.6  304.5  298.0
  500.0   5480  -25.5  -26.7     90   0.87    280     80  301.9  304.8  302.1
  496.0   5538  -25.9  -27.2     89   0.84    280     80  302.1  304.9  302.2
  475.0   5851  -28.3  -29.7     88   0.69    281     92  302.9  305.2  303.0
  458.0   6113  -30.1  -32.6     79   0.54    282    103  303.8  305.7  303.9
  447.0   6286  -31.5  -33.3     84   0.52    283    110  304.2  306.0  304.2
  439.0   6414  -32.1  -34.0     83   0.49    284    115  305.0  306.7  305.1
  426.0   6627  -32.7  -37.2     64   0.37    284    124  306.8  308.2  306.9
  420.0   6727  -32.5  -41.5     40   0.24    285    128  308.3  309.2  308.4
  417.0   6778  -32.8  -41.0     44   0.25    285    130  308.6  309.5  308.6
  416.0   6795  -32.9  -40.9     45   0.26    285    130  308.7  309.6  308.7
  415.0   6812  -33.1  -40.1     49   0.28    285    130  308.6  309.7  308.7
  402.0   7035  -35.1  -43.1     44   0.21    285    130  308.9  309.6  308.9
  400.0   7070  -35.3  -43.3     44   0.21    285    130  309.0  309.8  309.1
  362.0   7755  -41.3  -45.8     62   0.18    287    137  309.9  310.6  310.0
  325.0   8476  -47.3  -52.3     56   0.09    289    145  311.4  311.7  311.4
  317.0   8640  -48.5  -55.5     44   0.07    289    146  311.9  312.2  311.9
  309.0   8807  -49.3  -57.3     39   0.05    290    148  313.1  313.3  313.1
  305.0   8892  -49.5  -60.5     26   0.04    290    149  314.0  314.1  314.0
  302.0   8957  -49.7  -60.7     26   0.04    290    150  314.6  314.7  314.6
  300.0   9000  -50.3  -62.3     23   0.03    290    148  314.3  314.5  314.4
  277.0   9520  -53.1  -74.1      6   0.01    290    143  317.6  317.6  317.6
  265.0   9806  -54.9  -77.9      4   0.00    290    140  319.0  319.0  319.0
  263.0   9855  -55.1  -78.5      4   0.00    290    140  319.4  319.4  319.4
  250.0  10180  -56.1  -82.1      2   0.00    290    126  322.5  322.5  322.5
  228.0  10760  -58.7  -87.7      1   0.00    290    117  327.2  327.2  327.2
  227.0  10788  -58.9  -86.9      2   0.00    290    117  327.3  327.3  327.3
  214.0  11159  -56.7  -86.7      1   0.00    290     99  336.2  336.3  336.2
  210.0  11278  -56.9  -85.9      1   0.00    290    104  337.8  337.8  337.8
  206.0  11400  -55.1  -84.9      1   0.00    290    109  342.4  342.4  342.4
  205.0  11431  -54.7  -84.7      1   0.00    292    108  343.6  343.6  343.6
  202.0  11526  -51.1  -83.1      1   0.00    300    105  350.7  350.7  350.7
  200.0  11590  -51.5  -82.5      1   0.00    305     99  351.1  351.1  351.1
  198.0  11655  -49.9  -81.9      1   0.00    308     93  354.6  354.6  354.6
  193.0  11822  -50.1  -82.1      1   0.00    315     78  356.9  357.0  356.9
  186.0  12064  -50.3  -82.3      1   0.00    299     64  360.4  360.4  360.4
  182.0  12206  -48.4  -81.2      1   0.00    290     56  365.7  365.7  365.7
  181.0  12242  -47.9  -80.9      1   0.00    290     57  367.1  367.1  367.1
  180.0  12279  -48.3  -80.3      1   0.00    289     58  367.0  367.0  367.0
  177.0  12389  -49.1  -80.1      2   0.00    288     61  367.5  367.5  367.5
  172.0  12578  -48.2  -80.0      1   0.00    285     66  371.9  371.9  371.9
  170.0  12655  -47.9  -79.9      1   0.00    285     61  373.7  373.7  373.7
  167.0  12773  -45.7  -79.7      1   0.00    285     54  379.3  379.3  379.3
  162.0  12973  -47.2  -80.1      1   0.00    285     41  380.1  380.2  380.1
  153.0  13350  -49.9  -80.9      1   0.00    274     45  381.7  381.7  381.7
  150.0  13480  -49.5  -80.5      1   0.00    270     47  384.6  384.6  384.6
  149.0  13524  -49.5  -80.6      1   0.00    270     45  385.3  385.4  385.3
  142.0  13839  -49.3  -81.1      1   0.00    280     45  390.9  390.9  390.9
  140.0  13932  -49.3  -81.3      1   0.00    286     42  392.6  392.6  392.6
  137.0  14073  -50.1  -81.5      1   0.00    295     39  393.6  393.6  393.6
  130.0  14415  -52.1  -82.1      2   0.00    287     32  396.0  396.0  396.0
  127.0  14566  -51.7  -82.7      1   0.00    284     29  399.3  399.4  399.3
  124.0  14720  -52.7  -82.9      1   0.00    280     25  400.2  400.2  400.2
  120.0  14932  -54.1  -83.1      2   0.00    277     33  401.4  401.5  401.4
  117.0  15094  -54.4  -83.4      2   0.00    275     39  403.8  403.8  403.8
  113.0  15317  -54.9  -83.9      2   0.00    284     43  406.9  406.9  406.9
  108.0  15603  -56.5  -85.2      2   0.00    295     49  409.1  409.1  409.1
  100.0  16090  -59.3  -87.3      2   0.00    300     43  412.9  412.9  412.9
   99.9  16096  -59.3  -87.3      2   0.00    300     43  413.0  413.0  413.0
   95.4  16382  -61.7  -88.7      2   0.00    297     41  413.8  413.8  413.8
   91.7  16627  -61.1  -88.1      2   0.00    294     40  419.7  419.7  419.7
   87.1  16949  -56.5  -85.5      1   0.00    290     39  435.1  435.1  435.1
   87.0  16956  -56.2  -85.4      1   0.00    290     39  435.9  435.9  435.9
   85.9  17037  -52.5  -84.5      1   0.00    285     35  444.9  444.9  444.9
   78.0  17649  -57.5  -86.0      2   0.00    250      4  447.0  447.1  447.0
   77.0  17730  -58.1  -86.2      2   0.00    235      6  447.3  447.3  447.3
   74.7  17923  -59.7  -86.7      2   0.00    250     17  447.9  447.9  447.9
   71.0  18241  -57.7  -86.2      1   0.00    275     35  458.8  458.8  458.8
   70.0  18330  -57.1  -86.1      1   0.00    285     29  461.9  461.9  461.9
   68.9  18430  -55.9  -84.9      2   0.00    284     27  466.6  466.6  466.6
   60.0  19305  -57.5  -85.8      2   0.00    275      8  481.9  481.9  481.9
   54.6  19901  -58.5  -86.5      2   0.00    293     12  492.6  492.7  492.6
   52.8  20113  -55.7  -84.7      2   0.01    300     13  503.9  503.9  503.9
   50.0  20460  -55.7  -84.7      2   0.01    310     16  511.8  511.8  511.8
   48.5  20654  -55.3  -84.3      2   0.01    309     15  517.2  517.3  517.2
   44.2  21240  -59.3  -86.3      2   0.01    304     14  521.4  521.4  521.4
   35.0  22706  -57.5  -85.5      2   0.01    293     12  562.0  562.1  562.0
   33.0  23074  -59.0  -85.9      2   0.01    290     12  567.5  567.5  567.5
   32.0  23267  -59.8  -86.1      2   0.01    345      2  570.4  570.4  570.4
   31.0  23465  -60.6  -86.3      2   0.01    110      2  573.3  573.4  573.3
   30.0  23670  -61.5  -86.5      2   0.01    175     10  576.4  576.5  576.4
